Name,symbol,contract address,decimals,coingecko,logo
yearn.finance,YFI,https://etherscan.io/address/0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,18,https://www.coingecko.com/en/coins/yearn-finance,https://ethplorer.io/images/yearn.png
Chainlink,LINK,https://etherscan.io/address/0x514910771af9ca656af840dff83e8264ecf986ca,18,https://www.coingecko.com/en/coins/chainlink,https://ethplorer.io/images/chainlink.jpg
Uniswap,UNI,https://etherscan.io/address/0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,18,https://www.coingecko.com/en/coins/uniswap,https://ethplorer.io
Binance Coin,BNB,https://etherscan.io/address/0xb8c77482e45f1f44de1745f52c74426c631bdd52,18,https://www.coingecko.com/en/coins/binancecoin,https://ethplorer.io/images/BNBb8c77482.png
Binance USD,BUSD,https://etherscan.io/address/0x4fabb145d64652a948d72533023f6e7a623c7c53,18,https://www.coingecko.com/en/coins/binance-usd,https://ethplorer.io/images/BUSD4fabb145.png
Basic Attention Token,BAT,https://etherscan.io/address/0x0d8775f648430679a709e98d2b0cb6250d2887ef,18,https://www.coingecko.com/en/coins/basic-attention-token,https://ethplorer.io/images/BAT0d8775f6.png
USD Coin,USDC,https://etherscan.io/address/0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,6,https://www.coingecko.com/en/coins/usd-coin,https://ethplorer.io/images/usdc.png
Huobi Token,HT,https://etherscan.io/address/0x6f259637dcd74c767781e37bc6133cd6a68aa161,18,https://www.coingecko.com/en/coins/huobi-token,https://ethplorer.io/images/HT6f259637.png
Paxos Standard,PAX,https://etherscan.io/address/0x8e870d67f660d95d5be530380d0ec0bd388289e1,18,https://www.coingecko.com/en/coins/paxos-standard,https://ethplorer.io/images/PAX8e870d67.png
eToro Euro,EURX,https://etherscan.io/address/0x05ac103f68e05da35e78f6165b9082432fe64b58,18,https://www.coingecko.com/en/coins/etoro-euro,https://ethplorer.io/images/EURX05ac103f.png
DFI.money,YFII,https://etherscan.io/address/0xa1d0e215a23d7030842fc67ce582a6afa3ccab83,18,https://www.coingecko.com/en/coins/yfii-finance,https://ethplorer.io/images/YFIIa1d0e215.png
eToro Pound Sterling,GBPX,https://etherscan.io/address/0xf85ef57fcdb36d628d063fa663e61e44d35ae661,18,https://www.coingecko.com/en/coins/etoro-pound-sterling,https://ethplorer.io/images/GBPXf85ef57f.png
WETH,WETH,https://etherscan.io/address/0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,https://www.coingecko.com/en/coins/weth,https://ethplorer.io/images/weth.png
OMG Network,OMG,https://etherscan.io/address/0xd26114cd6ee289accf82350c8d8487fedb8a0c07,18,https://www.coingecko.com/en/coins/omisego,https://ethplorer.io/images/OMGd26114cd.jpg
REN,REN,https://etherscan.io/address/0x408e41876cccdc0f92210600ef50372656052a38,18,https://www.coingecko.com/en/coins/republic-protocol,https://ethplorer.io/images/renvm.png
OKB,OKB,https://etherscan.io/address/0x75231f58b43240c9718dd58b4967c5114342a86c,18,https://www.coingecko.com/en/coins/okb,https://ethplorer.io/images/OKB75231f58.png
Compound,COMP,https://etherscan.io/address/0xc00e94cb662c3520282e6f5717214004a7f26888,18,https://www.coingecko.com/en/coins/compound-governance-token,https://ethplorer.io/images/compound.png
Dai,DAI,https://etherscan.io/address/0x6b175474e89094c44da98b954eedeac495271d0f,18,https://www.coingecko.com/en/coins/dai,https://ethplorer.io/images/mcd-dai.png
Band Protocol,BAND,https://etherscan.io/address/0xba11d00c5f74255f56a5e366f4f77f5a186d7f55,18,https://www.coingecko.com/en/coins/band-protocol,https://ethplorer.io/images/band.png
